Almont,ND,46.2
Almyra,AR,717
Alna,ME,33.9
Alpaugh,CA,1000
Alpena,AR,265
Alpena,MI,1227.5
Alpena,SD,175.5
Alpha,IL,0
Alpha,MI,154.3
Alpha,MN,682.4
Alpha,OH,0
Alpharetta,GA,2342
Alpin,FL,0
Alpine,AL,0
Alpine,AZ,241
Alpine,CA,530
Alpine,NJ,111.4
Alpine,NY,0
Alpine,TN,0
Alpine,TX,1259
Alpine,UT,1400
Alpine,WY,1182.9
Alplaus,NY,0
Alsea,OR,None
Alsen,ND,1.2
Alsey,IL,0
Alsip,IL,3016.7
Alstead,NH,49
Alston,GA,54.8
Alta,CA,0
Alta,IA,1759.8
Alta Loma,CA,0
Alta,UT,86
Alta Vista,IA,350
Alta Vista,KS,1200
Alta,WY,47
Altadena,CA,4900
Altair,TX,0
Altamahaw,NC,0
Altamont,IL,0
Altamont,KS,658.5
Altamont,MO,784.6
Altamont,NY,0
Altamont,TN,51.5
Altamont,UT,1200
Altamonte Springs,FL,4604
Altaville,CA,None
Altavista,VA,703
Altenburg,MO,335.2
Altha,FL,None
Altheimer,AR,541.8
Altmar,NY,0
Alto,GA,1060
Alto,MI,0
Alto,NM,None
Alto Pass,IL,0
Alto,TX,707.1
Alton Bay,NH,None
Alton,IA,657.3
Alton,IL,0
Alton,IN,323.5
Alton,KS,330
Alton,MO,554.8
Alton,NH,83
Alton,NY,0
Alton,UT,300
Alton,VA,0
Altona,IL,0
Altona,NY,0
Altonah,UT,None
Altoona,AL,216
Altoona,FL,176
Altoona,IA,1555.2
Altoona,KS,750
Altoona,PA,5069
Altoona,WI,1540
Altura,MN,165.4
Alturas,CA,1200
Altus,AR,418
Altus,OK,1200
Alum Bank,PA,0
Alum Creek,WV,170
Alva,FL,116.1
Alva,OK,2100
Alva,WY,0
Alvada,OH,0
Alvarado,MN,1650
Alvarado,TX,1048
Alvaton,KY,0
Alverda,PA,0
Alverton,PA,0
Alvin,IL,0
Alvin,TX,998
Alviso,CA,None
Alvo,NE,1320
Alvord,IA,700
Alvord,TX,952.9
Alvordton,OH,1183.6
Alzada,MT,None
Ama,LA,0
Amado,AZ,56
Amador City,CA,590
Amagansett,NY,169.6
Amagon,AR,850
Amalia,NM,0
Amana,IA,0
Amanda,OH,2456.7
Amanda Park,WA,0
Amargosa Valley,NV,None
Amarillo,TX,2075.5
Amasa,MI,2.3
Amawalk,NY,0
Amazonia,MO,843.2
Amber,OK,110
Amberg,WI,11.9
Amberson,PA,0
Ambia,IN,1593.3
Ambler,AK,None
Ambler,PA,0
Amboy,CA,None
Amboy,IL,0
Amboy,IN,1097.1
Amboy,MN,1722.6
Amboy,WA,161
Ambridge,PA,5179.3
Ambrose,GA,100
Ambrose,ND,24.3
Amelia Court House,VA,None
Amelia,LA,0
Amelia,NE,0
Amelia,OH,2682.1
Amenia,ND,65.7
Amenia,NY,103
American Canyon,CA,4000
American Falls,ID,2637.3
American Fork,UT,2853.7
Americus,GA,1590
Americus,KS,790
Amery,WI,980.4
Ames,IA,2435.6
Ames,NE,0
Ames,OK,800
Ames,TX,340.5
Amesbury,MA,None
Amesville,OH,700
